"DFC","CONTA","SUBCONTA"
"Despesa","Despesas Informatica","Equipamento Informatica"
"Despesa","Despesas Informatica","Equipamento Informatica"
"Despesa","Despesas Informatica","Equipamento Informatica"
"Despesa","Despesas Informatica","Equipamento Informatica"
"Despesa","Despesas Informatica","Equipamento Informatica"
"Despesa","Despesas com Pessoal/ RH","Confraternizaçao"
"Despesa","Despesas com Pessoal/ RH","Confraternizaçao"
"Despesa","Despesas com Pessoal/ RH","Confraternizaçao"
"Despesa","Despesas com Pessoal/ RH","Confraternizaçao"
"Despesa","Despesas com Pessoal/ RH","Confraternizaçao"
"Despesa","Despesas com Pessoal/ RH","Confraternizaçao"
"Despesa","Despesas com Pessoal/ RH","Confraternizaçao"
"Despesa","Despesas com Pessoal/ RH","Confraternizaçao"
